Stu dent,Term,Year,Level,Status,YearTerm,IsFemale,Ethnicity,Age,GPA-HS,GPA-TF,Major,Minor/Major2,Cred-Tot,Cred-Cum,GPA-PRE,GPA-Term,GPA-POST
4689,Spring,2011,Senior,C. UG,Fall,0,White,24,3.63,,IS,,19.5,119,2.868,3.333,2.922
4700,Fall,2011,Senior,C. UG,Fall,0,Blk/AA,28,,2.96,CSEE,,4,89,2.719,2,2.688
4700,Spring,2011,Senior,C. UG,Fall,0,Blk/AA,28,,2.96,CSEE,,12,93,2.688,1,2.495
4748,Fall,2010,Senior,C. UG,Fall,1,Blk/AA,22,4.74,,CHEM,,12,115,2.626,1.917,2.563
4748,Spring,2010,Senior,C. UG,Fall,1,Blk/AA,22,4.74,,BIOS,CHEM,16,127,2.563,2.25,2.545
4862,Fall,2010,Senior,C. UG,Fall,0,White,29,3.66,,CSEE,,9,118.33,2.897,2.667,2.881
4862,Spring,2010,Senior,C. UG,Fall,0,White,30,3.66,,CSEE,,3,124.33,2.881,2,2.86
4864,Fall,2010,Senior,C. UG,Fall,0,White,25,3.32,,IS,,10,117,2.183,2,2.168
4868,Fall,2010,Senior,C. UG,Fall,0,White,28,3.6,,MATH,,3,142,2.603,2,2.576
4868,Spring,2010,Senior,C. UG,Fall,0,White,28,3.6,,MATH,,10,145,2.576,3.667,2.707
4868,Fall,2011,Senior,C. UG,Fall,0,Multi,29,3.6,,MATH,,6,70,2.722,2.5,2.706
4891,Fall,2010,Senior,C. UG,Fall,0,White,22,3.86,,CSEE,,10.5,114,2.649,3.333,2.7
4910,Fall,2010,Sophomore,C. UG,Fall,1,Blk/AA,20,3.43,,GES,,15,59,2.745,3.167,2.821
4910,Spring,2010,Junior,C. UG,Fall,1,Blk/AA,20,3.43,,GES,,14.5,71,2.821,2.462,2.763
4910,Fall,2011,Junior,C. UG,Fall,1,Blk/AA,21,3.43,,GES,,15,85.5,2.763,2.4,2.705
4910,Spring,2011,Senior,C. UG,Fall,1,Blk/AA,21,3.43,,GES,,19,105,2.653,3.368,2.769
4910,Fall,2012,Senior,C. UG,Fall,1,Blk/AA,22,3.43,,GES,,9,124,2.769,3,2.791
4910,Spring,2012,Senior,C. UG,Fall,1,Blk/AA,22,3.43,,GES,,6,133,2.791,4,2.844
305134,Spring,2012,Sophomore,Transfer,Spring,0,White,20,,2.71,BIOS,,3,0,0,4,4
4915,Fall,2010,Senior,C. UG,Fall,0,White,24,2.95,,CSEE,,12,101,2.661,2.667,2.661
4915,Spring,2010,Senior,C. UG,Fall,0,White,25,2.95,,CSEE,,12,110,2.661,3.333,2.709
4915,Fall,2011,Senior,C. UG,Fall,0,White,25,2.95,,CSEE,,4,119,2.709,0,2.709
4915,Spring,2011,Senior,C. UG,Fall,0,White,26,2.95,,CSEE,,3,119,2.709,3,2.715
4915,Fall,2012,Senior,C. UG,Fall,0,White,26,2.95,,CSEE,,4,122,2.715,3,2.724
